symbol
HAS1
HAS2
HAS3
HYAL1
HYAL2
HYAL3
CEMIP
CD44
HMMR
LYVE1
TLR2
TLR4
LAYN
VCAN
ACAN
TNFAIP6
ITIH1
ITIH2
ITIH3
ITIH4
ITIH5
ITIH6
HAPLN1
HABP2
IL1B
IL6
IL10
COL1A1
COL3A1
COL6A1
UGDH
TGFB1
TGFB2
TGFB3
C1QBP
STAB1
THBS1
