symbol,log2FC,p_value_neg,p_value_pos,p_value_twosided
AHCYL2,-3.585172457,0.000228024,0.999996167,0.002065839
CD81,-3.585197030,0.000228784,0.999996038,0.002072398
RAB11FIP1,-3.585309927,0.000238042,0.999994676,0.002152188
CLSTN2,-3.585402366,0.000231906,0.999995524,0.002099322
LRP5,-3.585507941,0.000234003,0.999995209,0.002117398
STARD9,-3.585557081,0.001590513,0.979042784,0.008938543
CHCHD4,-3.585662303,0.000233007,0.999995430,0.002108815
MOB3C,-3.585807785,0.000229959,0.999995856,0.002082531
ORMDL1,-3.585859595,0.000226724,0.999996331,0.002054617
PCBP2,-3.585951735,0.000226734,0.999996326,0.002054702
PRMT6,-3.585991741,0.000225111,0.999996549,0.002040691
CHSY3,-3.586075246,0.000247911,0.999992912,0.002237046
C16orf62,-3.586082611,0.000232128,0.999995530,0.002101240
GOLGA2,-3.586106234,0.000230864,0.999995718,0.002090340
SDF4,-3.586228378,0.000225980,0.999996420,0.002048195
MIOS,-3.586442707,0.000225655,0.999996460,0.002045394
TMEM62,-3.586649541,0.000226098,0.999996389,0.002049217
BARX1,-3.586684975,0.000229748,0.999995850,0.002080715
STAM,-3.586854213,0.000224975,0.999996539,0.002039520
MAB21L2,-3.586978434,0.000227781,0.999996115,0.002063745
PLD2,-3.587105361,0.000226763,0.999996276,0.002054958
SDHAF2,-3.587127817,0.000227121,0.999996230,0.002058044
RGAG1,-3.587210377,0.000228931,0.999995952,0.002073670
NOC2L,-3.587348936,0.000224623,0.999996571,0.002036481
SLFN12,-3.587539029,0.000226354,0.999996327,0.002051427
FBXL3,-3.587613812,0.000407030,0.999987238,0.003582043
TESK1,-3.587776823,0.000226967,0.999996225,0.002056717
ADM,-3.587860693,0.000225284,0.999996462,0.002042187
CRYBB3,-3.587867374,0.000234554,0.999995110,0.002122149
ATPAF2,-3.587914628,0.000225090,0.999996488,0.002040507
OLIG3,-3.588017454,0.000224561,0.999996558,0.002035943
SUSD5,-3.588152909,0.000233997,0.999996369,0.002117350
ZFP36,-3.588164091,0.000225265,0.999996456,0.002042026
YY1AP1,-3.588190252,0.000225771,0.999996382,0.002046391
GDF3,-3.588217181,0.000226231,0.999996319,0.002050361
PPM1M,-3.588322761,0.000231715,0.999995486,0.002097675
RCHY1,-3.588348760,0.000228312,0.999995982,0.002068321
SIK2,-3.588493392,0.000225217,0.999996448,0.002041605
C6orf10,-3.588605952,0.000228084,0.999996038,0.002066358
CSNK1G2,-3.588639306,0.000225543,0.999996403,0.002044419
COA4,-3.588799308,0.000227751,0.999996074,0.002063482
SERF1A,-3.588824425,0.000226432,0.999996256,0.002052097
