symbol,log2FC,p_value_neg,p_value_pos,p_value_twosided
OLFML2B,-3.248987805,0.000457791,0.999990081,0.004003486
RUFY3,-3.022947109,0.000457855,0.999991271,0.004004012
ATF6B,-3.770661615,0.000457864,0.999967684,0.004004087
ANKLE2,-3.023008151,0.000457941,0.999991271,0.004004727
ADAM19,-3.034527713,0.000457946,0.999990559,0.004004767
SLC10A3,-3.035963780,0.000457963,0.999990502,0.004004904
SDC4,-3.024421861,0.000458008,0.999991156,0.004005281
ADAM22,-3.032404566,0.000458084,0.999990724,0.004005909
PLIN5,-3.717437842,0.000458178,0.999981640,0.004006684
ZDHHC11,-3.627664312,0.000458236,0.999971451,0.004007162
USF2,-3.098149578,0.000458293,0.999986099,0.004007642
SLC22A9,-3.014409823,0.000458517,0.999991685,0.004009490
ZIK1,-3.169602047,0.000458535,0.999990669,0.004009639
SMU1,-3.021576451,0.000458590,0.999991277,0.004010098
HAGH,-3.042820288,0.000458644,0.999989975,0.004010543
PRAMEF7,-3.014410962,0.000458737,0.999991656,0.004011307
FAM107A,-3.019548230,0.000458809,0.999991350,0.004011903
CRHR1,-3.053019089,0.000458969,0.999989310,0.004013226
POP5,-3.068659153,0.000458985,0.999988287,0.004013361
C3orf33,-3.022480442,0.000459116,0.999991160,0.004014441
N4BP2L2,-3.011666763,0.000459123,0.999991765,0.004014498
APPL2,-3.219868022,0.000459190,0.999972775,0.004015052
MFSD1,-3.036984194,0.000459332,0.999990262,0.004016232
PHB2,-3.013822811,0.000459442,0.999991603,0.004017139
FCGRT,-3.013183313,0.000459588,0.999991624,0.004018351
OR4A47,-3.050258847,0.000459597,0.999989332,0.004018423
CD8A,-3.552555678,0.000459598,0.999986403,0.004018426
AGAP1,-3.600361607,0.000459621,0.999985960,0.004018616
DNAH17,-3.045398240,0.000459709,0.999989597,0.004019351
STARD13,-3.029000634,0.000459715,0.999990682,0.004019398
ADAP2,-3.104935524,0.000459809,0.999985359,0.004020172
STAT3,-3.021901558,0.000459824,0.999991083,0.004020300
RD3L,-3.043846819,0.000459987,0.999989687,0.004021648
PTPRZ1,-3.037187738,0.000460189,0.999990110,0.004023316
EDDM3B,-2.962662983,0.000460379,0.999990212,0.004024891
TOMM22,-3.011430587,0.000460444,0.999991619,0.004025426
GAPDH,-3.038815795,0.000460468,0.999990033,0.004025621
POLR2C,-3.008955933,0.000460698,0.999991730,0.004027527
LETM1,-3.033071043,0.000460705,0.999990303,0.004027587
LRRC52,-3.044218188,0.000460776,0.999989585,0.004028175
TMED5,-3.011525057,0.000460778,0.999991579,0.004028187
ETAA1,-3.039103182,0.000460925,0.999989892,0.004029402
NCKAP1L,-3.035568261,0.000461073,0.999990095,0.004030625
RAD51,-3.032019754,0.000461075,0.999990260,0.004030643
UNC13C,-3.016965597,0.000461080,0.999991227,0.004030688
EIF4A1,-3.010828918,0.000461167,0.999991568,0.004031404
C5orf24,-3.019965266,0.000461201,0.999991031,0.004031685
TBL1XR1,-3.047916182,0.000461316,0.999989299,0.004032635
HSPD1,-3.037808237,0.000461385,0.999989812,0.004033206
IFNA2,-3.883671720,0.000461434,0.999905057,0.004033611
SLC44A4,-3.997705431,0.000461457,0.999840307,0.004033799
SERPINA7,-3.023247440,0.000461607,0.999990819,0.004035041
NT5C,-3.056415470,0.000461744,0.999988740,0.004036170
SUPT6H,-3.029205333,0.000461819,0.999990405,0.004036795
MAD1L1,-3.010921941,0.000461835,0.999991479,0.004036927
CEP162,-3.035420735,0.000462129,0.999989996,0.004039357
KLF7,-3.554386818,0.000462731,0.999979558,0.004044331
SEMA3C,-3.030867256,0.000462756,0.999990156,0.004044535
MTX3,-3.030248575,0.000462818,0.999990226,0.004045048
ENKUR,-3.039886073,0.000462878,0.999989591,0.004045551
CCDC146,-3.069470245,0.000462892,0.999987627,0.004045663
FAM89B,-3.310222945,0.000462970,0.999987717,0.004046307
KCNA6,-3.007532946,0.000463027,0.999991534,0.004046783
HTR2A,-3.054506154,0.000463076,0.999988530,0.004047184
SP6,-3.082351746,0.000463088,0.999986679,0.004047283
MRPL23,-3.032385193,0.000463145,0.999990043,0.004047757
TAF4B,-3.018123660,0.000463164,0.999990904,0.004047914
NR3C1,-3.021992858,0.000463180,0.999990701,0.004048042
ASB15,-4.045311078,0.000463183,0.999869338,0.004048069
SORD,-3.572981925,0.000463309,0.999977508,0.004049106
TRA2B,-3.037654958,0.000463476,0.999989617,0.004050490
LNPEP,-3.037561945,0.000463481,0.999989724,0.004050529
CGB1,-3.050407864,0.000463526,0.999988814,0.004050907
CSGALNACT1,-3.521605142,0.000463705,0.999986560,0.004052382
NDUFA4,-3.071223828,0.000463785,0.999987422,0.004053043
MAP3K9,-3.016118508,0.000463789,0.999990942,0.004053076
NLRP5,-3.013705709,0.000463909,0.999991070,0.004054065
ZNF763,-3.045541646,0.000463962,0.999988997,0.004054505
CYP4F2,-3.033745112,0.000464022,0.999989829,0.004055004
KDM7A,-3.024406962,0.000464304,0.999990388,0.004057329
GAGE12J,-3.025742267,0.000464361,0.999990293,0.004057802
PDIA6,-2.949375110,0.000464362,0.999990214,0.004057814
GRHL1,-3.773249605,0.000464466,0.999954774,0.004058671
TAS2R38,-3.007272002,0.000464480,0.999991372,0.004058785
AGAP4,-3.012153582,0.000464486,0.999991087,0.004058833
NCBP2,-3.021481360,0.000464626,0.999990485,0.004059997
NKX6-3,-3.006028930,0.000464730,0.999991414,0.004060854
DNM3,-3.047421885,0.000464971,0.999988868,0.004062841
ZPBP2,-3.007207820,0.000465014,0.999991319,0.004063201
BAZ1B,-3.013279953,0.000465120,0.999990952,0.004064072
TMEM170B,-3.050530913,0.000465217,0.999988513,0.004064880
UBXN11,-3.003454381,0.000465232,0.999991502,0.004064997
TEX13A,-3.908881476,0.000465240,0.999928351,0.004065065
RPS6KA4,-3.042769999,0.000465356,0.999988905,0.004066022
ASCL3,-3.005545728,0.000465369,0.999991368,0.004066135
EFNA5,-3.014295157,0.000465483,0.999990827,0.004067076
IGSF6,-3.045528166,0.000465519,0.999988772,0.004067376
DPCD,-4.096457935,0.000465544,0.999881028,0.004067576
ZBTB6,-3.000482452,0.000465640,0.999991621,0.004068369
SYN2,-3.020705746,0.000465659,0.999990423,0.004068530
GTSF1,-3.004495202,0.000465783,0.999991373,0.004069556
CLCN7,-3.673038661,0.000465916,0.999972793,0.004070649
CABIN1,-3.021471888,0.000465949,0.999990295,0.004070929
APBB1IP,-3.006067102,0.000466171,0.999991236,0.004072756
SLC6A14,-3.064350887,0.000466201,0.999987196,0.004073009
FAM86B1,-3.005608871,0.000466342,0.999991241,0.004074174
CNEP1R1,-3.021014670,0.000466398,0.999990322,0.004074634
DLX1,-3.007296461,0.000466583,0.999991111,0.004076160
BTN2A1,-3.050992863,0.000466601,0.999988254,0.004076311
EPPIN-WFDC6,-3.012507287,0.000466649,0.999990801,0.004076708
POLD2,-3.000313872,0.000466716,0.999991504,0.004077262
FAM120B,-3.001209655,0.000466812,0.999991442,0.004078055
SLC35F5,-3.003904322,0.000466887,0.999991279,0.004078675
STK38L,-3.056740200,0.000466980,0.999987948,0.004079445
OR51G1,-3.014942946,0.000467018,0.999990611,0.004079756
ACP6,-2.906912709,0.000467360,0.999991292,0.004082578
IRF7,-3.329288034,0.000467479,0.999989833,0.004083568
APOO,-3.036389333,0.000467501,0.999989184,0.004083749
HSP90AA1,-3.129849399,0.000467604,0.999981462,0.004084595
LYL1,-3.010602174,0.000467678,0.999990806,0.004085210
TBC1D23,-3.016610490,0.000467755,0.999990430,0.004085842
KIAA0391,-3.001833384,0.000467948,0.999991265,0.004087438
MYBPHL,-3.004584574,0.000468073,0.999991082,0.004088474
SRSF9,-3.027089436,0.000468199,0.999989706,0.004089513
ADAMTS12,-3.004446325,0.000468337,0.999991074,0.004090655
OR5B12,-3.007036612,0.000468344,0.999990896,0.004090709
BAK1,-3.973104533,0.000468460,0.999919304,0.004091665
RPL36AL,-3.064674056,0.000468514,0.999987151,0.004092116
TMC8,-3.022514161,0.000468719,0.999989907,0.004093803
AGGF1,-3.013274687,0.000468779,0.999990520,0.004094298
EIF4E3,-3.729481098,0.000468952,0.999977458,0.004095734
IFT172,-3.345558499,0.000468961,0.999989029,0.004095802
ZC2HC1A,-3.000324151,0.000469019,0.999991228,0.004096285
FBXO46,-3.046732929,0.000469023,0.999988088,0.004096320
SLFN14,-3.000669719,0.000469038,0.999991212,0.004096439
HTR3B,-2.998390788,0.000469108,0.999991329,0.004097017
SELM,-2.995325702,0.000469123,0.999991502,0.004097146
SLC1A1,-3.039318857,0.000469135,0.999988812,0.004097244
VSTM2A,-3.204380738,0.000469145,0.999989636,0.004097327
CHIC2,-2.878482919,0.000469319,0.999991478,0.004098764
MAPT,-3.853600313,0.000469358,0.999916639,0.004099082
HCFC1,-3.015084071,0.000469386,0.999990312,0.004099311
SMC2,-3.000615623,0.000469407,0.999991163,0.004099488
LRP4,-3.028511311,0.000469639,0.999989408,0.004101405
HACD4,-2.997506285,0.000469713,0.999991307,0.004102015
TBP,-3.271321204,0.000469803,0.999988709,0.004102757
PPP1R27,-3.025693447,0.000469875,0.999989631,0.004103355
MTOR,-3.037003766,0.000469940,0.999988832,0.004103891
TRAK1,-3.009894143,0.000470207,0.999990487,0.004106095
PEX12,-3.098849135,0.000470327,0.999984036,0.004107085
UROC1,-3.032430370,0.000470388,0.999989022,0.004107585
ANKRD52,-3.038963665,0.000470466,0.999988673,0.004108229
NDUFB3,-3.709850582,0.000470468,0.999973015,0.004108252
HNRNPA1L2,-3.038365838,0.000470893,0.999988600,0.004111760
GYS2,-3.124518613,0.000470895,0.999981409,0.004111773
RNFT2,-3.904669916,0.000470924,0.999932164,0.004112011
KLRD1,-3.008136346,0.000471088,0.999990528,0.004113369
UBE3B,-2.990797482,0.000471252,0.999991508,0.004114722
TMPRSS4,-3.009356585,0.000471288,0.999990439,0.004115023
PROS1,-2.990972041,0.000471358,0.999991486,0.004115599
NBPF3,-2.991314023,0.000471365,0.999991466,0.004115652
SYT4,-3.004321291,0.000471440,0.999990683,0.004116273
MSTO1,-2.994061268,0.000471537,0.999991290,0.004117078
VPS72,-2.994968484,0.000471567,0.999991236,0.004117324
SPATA31A3,-3.023433113,0.000471782,0.999989430,0.004119097
TINF2,-2.995173787,0.000471838,0.999991186,0.004119557
DLX3,-3.091280336,0.000471907,0.999984394,0.004120132
LSR,-3.970861745,0.000472098,0.999926957,0.004121706
SYNRG,-3.284010329,0.000472183,0.999990128,0.004122407
CRYAB,-2.990838011,0.000472193,0.999991396,0.004122492
HMGCS1,-3.011086831,0.000472209,0.999990163,0.004122622
BCL9,-3.143767595,0.000472274,0.999978971,0.004123156
SLC14A1,-3.204582043,0.000472433,0.999989912,0.004124467
C1orf141,-3.001703813,0.000472462,0.999990743,0.004124714
SH3BP1,-3.226352397,0.000472576,0.999988937,0.004125652
OLFM2,-2.991322063,0.000472652,0.999991312,0.004126278
BTBD16,-3.004856005,0.000472719,0.999990492,0.004126828
RELL2,-3.279706114,0.000472801,0.999988010,0.004127508
ZC3H12C,-2.997035624,0.000472850,0.999990948,0.004127916
TMEM63A,-3.298379600,0.000472955,0.999986858,0.004128780
NUDT15,-3.894776377,0.000473016,0.999960549,0.004129280
RGL3,-3.384367313,0.000473176,0.999986719,0.004130600
GZMB,-3.117651032,0.000473200,0.999981476,0.004130805
TTC36,-3.003781118,0.000473216,0.999990521,0.004130935
VWA5B1,-3.014413988,0.000473222,0.999989880,0.004130979
CA3,-2.993112665,0.000473246,0.999991139,0.004131178
FRG2,-2.998123997,0.000473346,0.999990826,0.004132006
PSAP,-2.987944556,0.000473448,0.999991413,0.004132846
KIF3A,-3.027542672,0.000473507,0.999988923,0.004133337
HLA-C,-2.988516057,0.000473595,0.999991363,0.004134060
SYT3,-2.999398145,0.000473643,0.999990717,0.004134460
